Geneid,Length,Description
TRINITY_DN218419_c0_g1_i1,374,Oxysterols receptor LXR-beta
TRINITY_DN283036_c0_g1_i1,374,NA
TRINITY_DN218339_c7_g2_i1,374,NA
TRINITY_DN293763_c0_g1_i1,373,NA
TRINITY_DN210494_c0_g1_i1,373,NA
TRINITY_DN179958_c0_g1_i1,373,NA
TRINITY_DN247343_c0_g1_i1,373,Glutamate dehydrogenase
TRINITY_DN206398_c0_g3_i1,373,NA
TRINITY_DN241804_c0_g1_i1,373,NA
TRINITY_DN240754_c0_g1_i1,373,NA
TRINITY_DN263941_c0_g1_i1,373,NA
TRINITY_DN267988_c0_g1_i1,373,NA
TRINITY_DN75299_c0_g1_i1,373,NA
TRINITY_DN136619_c0_g1_i1,373,NA
TRINITY_DN233463_c0_g1_i1,373,NA
TRINITY_DN139567_c0_g1_i1,373,NA
TRINITY_DN296926_c0_g1_i1,373,Glutamate--cysteine ligase
TRINITY_DN297263_c0_g1_i1,373,NA
TRINITY_DN139398_c0_g1_i1,373,Anthranilate synthase component 2
TRINITY_DN132824_c0_g1_i1,373,NA
TRINITY_DN286860_c0_g1_i1,373,NA
TRINITY_DN285635_c0_g1_i1,373,NA
TRINITY_DN301615_c0_g1_i1,373,NA
TRINITY_DN305681_c0_g1_i1,373,NA
TRINITY_DN225471_c0_g1_i1,373,NA
TRINITY_DN282665_c0_g1_i1,373,NA
TRINITY_DN310749_c0_g1_i1,373,NA
TRINITY_DN159950_c0_g1_i1,373,Probable manganese catalase
TRINITY_DN5238_c0_g1_i1,373,NA
TRINITY_DN288958_c0_g1_i1,373,NA
TRINITY_DN256066_c0_g1_i1,373,NA
TRINITY_DN299299_c0_g1_i1,373,NA
TRINITY_DN270489_c0_g1_i1,373,"Arginase-2, mitochondrial"
TRINITY_DN267130_c0_g1_i1,373,NA
TRINITY_DN179894_c0_g1_i1,373,NA
TRINITY_DN307458_c0_g1_i1,373,Probable HTH-type transcriptional regulator LrrA
TRINITY_DN203911_c0_g1_i1,373,NA
TRINITY_DN203339_c1_g1_i1,373,MDIS1-interacting receptor like kinase 2
TRINITY_DN275930_c0_g1_i1,373,NA
TRINITY_DN198713_c0_g1_i1,373,"Actin, gamma"
TRINITY_DN151151_c0_g1_i1,373,NA
TRINITY_DN208326_c0_g2_i1,373,NA
TRINITY_DN234716_c0_g1_i1,373,NA
TRINITY_DN241119_c0_g1_i1,373,NA
TRINITY_DN170424_c0_g1_i1,373,NA
TRINITY_DN214977_c1_g5_i2,373,NA
TRINITY_DN282916_c0_g1_i1,373,NA
TRINITY_DN181616_c1_g3_i1,373,Transketolase
TRINITY_DN208820_c0_g2_i1,373,NA
TRINITY_DN161986_c0_g1_i1,373,Olfactory receptor 1F12
TRINITY_DN242805_c0_g1_i1,373,NA
TRINITY_DN190802_c6_g1_i1,373,Tigger transposable element-derived protein 1
TRINITY_DN288645_c0_g1_i1,373,NA
TRINITY_DN240793_c0_g1_i1,373,NA
TRINITY_DN214568_c0_g4_i1,372,NA
TRINITY_DN218256_c2_g1_i1,372,NA
TRINITY_DN313020_c0_g1_i1,372,NA
TRINITY_DN286984_c0_g1_i1,372,Puromycin-sensitive aminopeptidase
TRINITY_DN228794_c0_g1_i1,372,NA
TRINITY_DN141217_c0_g1_i1,372,NA
TRINITY_DN226393_c0_g1_i1,372,NA
TRINITY_DN193357_c8_g1_i1,372,NA
TRINITY_DN284184_c0_g1_i1,372,NA
TRINITY_DN182683_c0_g1_i1,372,NA
TRINITY_DN265952_c0_g1_i1,372,NA
TRINITY_DN240157_c0_g1_i1,372,NA
TRINITY_DN237328_c0_g1_i1,372,NA
TRINITY_DN229059_c0_g1_i1,372,NA
TRINITY_DN167466_c0_g1_i1,372,NA
TRINITY_DN271386_c0_g1_i1,372,NA
TRINITY_DN295053_c0_g1_i1,372,NA
TRINITY_DN221699_c0_g1_i1,372,NA
TRINITY_DN241663_c0_g1_i1,372,NA
TRINITY_DN288863_c0_g1_i1,372,NA
TRINITY_DN197433_c1_g2_i1,372,NA
TRINITY_DN228980_c0_g1_i1,372,NA
TRINITY_DN194760_c1_g1_i2,372,NA
TRINITY_DN194219_c10_g1_i1,372,NA
TRINITY_DN238061_c0_g1_i1,372,"C-1-tetrahydrofolate synthase, cytoplasmic"
TRINITY_DN231874_c0_g1_i1,372,Probable LRR receptor-like serine/threonine-protein kinase At1g53420
TRINITY_DN190100_c10_g1_i1,372,LINE-1 reverse transcriptase homolog
TRINITY_DN147082_c0_g1_i1,372,NA
TRINITY_DN264018_c0_g1_i1,372,NA
TRINITY_DN281963_c0_g1_i1,372,NA
TRINITY_DN192736_c4_g1_i1,372,NA
TRINITY_DN199663_c0_g3_i1,372,NA
TRINITY_DN215714_c5_g1_i1,372,NA
TRINITY_DN31348_c0_g1_i1,372,NA
TRINITY_DN187822_c12_g1_i1,372,NA
TRINITY_DN214751_c0_g2_i2,372,NA
TRINITY_DN267777_c0_g1_i1,372,NA
TRINITY_DN227198_c0_g1_i1,372,NA
TRINITY_DN313724_c0_g1_i1,372,NA
TRINITY_DN208334_c0_g4_i1,372,NA
TRINITY_DN273604_c0_g1_i1,372,NA
TRINITY_DN67430_c0_g1_i1,372,NA
TRINITY_DN308015_c0_g1_i1,372,NA
TRINITY_DN206334_c2_g5_i1,372,NA
TRINITY_DN309684_c0_g1_i1,372,NA
TRINITY_DN186490_c0_g1_i2,372,NA
TRINITY_DN179866_c3_g2_i1,372,NA
TRINITY_DN205170_c2_g3_i1,372,"Glucan endo-1,3-beta-glucosidase, acidic isoform"
TRINITY_DN246614_c0_g1_i1,372,NA
TRINITY_DN225455_c0_g1_i1,372,NA
TRINITY_DN193721_c4_g1_i1,372,NA
TRINITY_DN195126_c2_g2_i1,372,NA
TRINITY_DN78317_c0_g1_i1,372,NA
TRINITY_DN185313_c2_g1_i1,372,NA
TRINITY_DN236804_c0_g1_i1,372,NA
TRINITY_DN302010_c0_g1_i1,372,NA
TRINITY_DN248973_c0_g1_i1,371,NA
TRINITY_DN197914_c4_g1_i1,371,LINE-1 retrotransposable element ORF1 protein
TRINITY_DN293824_c0_g1_i1,371,NA
TRINITY_DN213811_c5_g4_i1,371,NA
TRINITY_DN285882_c0_g1_i1,371,NA
TRINITY_DN285839_c0_g1_i1,371,NA
TRINITY_DN310530_c0_g1_i1,371,Ribulose-phosphate 3-epimerase
TRINITY_DN200385_c0_g2_i1,371,NA
TRINITY_DN224309_c0_g1_i1,371,NA
TRINITY_DN305951_c0_g1_i1,371,NA
TRINITY_DN228217_c0_g1_i1,371,NA
TRINITY_DN57692_c0_g1_i1,371,NA
TRINITY_DN294822_c0_g1_i1,371,NA
TRINITY_DN219034_c0_g1_i1,371,NA
TRINITY_DN307685_c0_g1_i1,371,NADH-quinone oxidoreductase subunit D
TRINITY_DN280025_c0_g1_i1,371,2-dehydro-3-deoxygluconokinase
TRINITY_DN61539_c0_g1_i1,371,NA
TRINITY_DN245078_c0_g1_i1,371,NA
TRINITY_DN277810_c0_g1_i1,371,NA
TRINITY_DN140027_c1_g1_i1,371,NA
TRINITY_DN267998_c0_g1_i1,371,NA
TRINITY_DN161937_c0_g1_i1,371,NA
TRINITY_DN197547_c5_g1_i1,371,NA
TRINITY_DN182155_c2_g1_i1,371,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN191490_c8_g1_i1,371,NA
TRINITY_DN257191_c0_g1_i1,371,NA
TRINITY_DN241332_c0_g1_i1,371,NA
TRINITY_DN262987_c0_g1_i1,371,NA
TRINITY_DN269877_c0_g1_i1,371,NA
TRINITY_DN141664_c0_g1_i1,371,NA
TRINITY_DN228001_c0_g1_i1,371,NA
TRINITY_DN213151_c1_g3_i1,371,NA
TRINITY_DN308780_c0_g1_i1,371,NA
TRINITY_DN214121_c1_g4_i2,371,NA
TRINITY_DN232317_c0_g1_i1,371,NA
TRINITY_DN193367_c0_g3_i1,371,NA
TRINITY_DN197459_c0_g2_i1,371,NA
TRINITY_DN128087_c0_g1_i1,371,NA
TRINITY_DN215207_c1_g5_i1,371,NA
TRINITY_DN188340_c13_g1_i1,371,NA
TRINITY_DN307980_c0_g1_i1,371,NA
TRINITY_DN131403_c0_g1_i1,371,NA
TRINITY_DN278469_c0_g1_i1,371,NA
TRINITY_DN213784_c0_g1_i1,371,NA
TRINITY_DN6821_c0_g1_i1,371,NA
TRINITY_DN308207_c0_g1_i1,371,NA
TRINITY_DN239929_c0_g1_i1,371,NA
TRINITY_DN213264_c0_g3_i1,371,NA
TRINITY_DN228165_c0_g1_i1,371,NA
TRINITY_DN124853_c0_g1_i1,371,NA
TRINITY_DN233697_c0_g1_i1,371,NA
TRINITY_DN67560_c0_g1_i1,371,NA
TRINITY_DN276466_c0_g1_i1,371,NA
TRINITY_DN194402_c0_g2_i1,371,NA
TRINITY_DN290622_c0_g1_i1,371,NA
TRINITY_DN223695_c0_g1_i1,371,NA
TRINITY_DN193805_c7_g3_i1,370,NA
TRINITY_DN199784_c1_g2_i1,370,Methionine aminopeptidase 2A
TRINITY_DN163750_c0_g1_i1,370,NA
TRINITY_DN218725_c0_g1_i1,370,NA
TRINITY_DN177515_c0_g2_i1,370,NA
TRINITY_DN253141_c0_g1_i1,370,NA
TRINITY_DN198585_c2_g1_i1,370,NA
TRINITY_DN281583_c0_g1_i1,370,Phosphoserine aminotransferase
TRINITY_DN303663_c0_g1_i1,370,NA
TRINITY_DN254381_c0_g1_i1,370,NA
TRINITY_DN303780_c0_g1_i1,370,NA
TRINITY_DN188545_c0_g1_i1,370,NA
TRINITY_DN247701_c0_g1_i1,370,NA
TRINITY_DN166121_c1_g2_i1,370,NA
TRINITY_DN302755_c0_g1_i1,370,NA
TRINITY_DN194725_c13_g1_i1,370,LINE-1 reverse transcriptase homolog
TRINITY_DN200274_c0_g1_i1,370,NA
TRINITY_DN314274_c0_g1_i1,370,NA
TRINITY_DN247183_c0_g1_i1,370,NA
TRINITY_DN253686_c0_g1_i1,370,NA
TRINITY_DN247751_c0_g1_i1,370,NA
TRINITY_DN254225_c0_g1_i1,370,NA
TRINITY_DN273410_c0_g1_i1,370,Endogenous retrovirus group 3 member 1 Env polyprotein
TRINITY_DN67494_c0_g1_i1,370,NA
TRINITY_DN266705_c0_g1_i1,370,NA
TRINITY_DN180947_c0_g1_i1,370,Tensin-4
TRINITY_DN214413_c1_g9_i1,370,NA
TRINITY_DN31661_c0_g1_i1,370,NA
TRINITY_DN258565_c0_g1_i1,370,NA
TRINITY_DN291393_c0_g1_i1,370,NA
TRINITY_DN192336_c64_g1_i1,370,NA
TRINITY_DN232019_c0_g1_i1,370,NA
TRINITY_DN250517_c0_g1_i1,370,NA
TRINITY_DN242975_c0_g1_i1,370,NA
TRINITY_DN312237_c0_g1_i1,370,NA
TRINITY_DN199693_c1_g1_i1,370,NA
TRINITY_DN137855_c0_g1_i1,370,NA
TRINITY_DN210408_c0_g3_i1,370,NA
TRINITY_DN208274_c0_g1_i1,370,NA
TRINITY_DN259779_c0_g1_i1,370,NA
TRINITY_DN199282_c1_g2_i1,370,"Epimerase family protein SDR39U1 homolog, chloroplastic"
TRINITY_DN199953_c0_g2_i1,370,NA
TRINITY_DN288809_c0_g1_i1,370,Uncharacterized AAA domain-containing protein ycf46
TRINITY_DN203137_c0_g5_i1,370,NA
TRINITY_DN211549_c1_g2_i1,370,NA
TRINITY_DN14886_c0_g1_i1,370,NA
TRINITY_DN72840_c0_g1_i1,370,NA
TRINITY_DN147382_c0_g1_i1,370,NA
TRINITY_DN211405_c0_g1_i1,370,NA
TRINITY_DN287593_c0_g1_i1,370,NA
TRINITY_DN192449_c3_g1_i1,370,NA
TRINITY_DN289546_c0_g1_i1,370,NA
TRINITY_DN90614_c0_g1_i1,370,NA
TRINITY_DN192025_c8_g1_i1,370,NA
TRINITY_DN248537_c0_g1_i1,370,NA
TRINITY_DN48224_c0_g1_i1,370,Transposase for transposon Tn3926
TRINITY_DN281166_c0_g1_i1,370,NA
TRINITY_DN213201_c3_g4_i1,370,NA
TRINITY_DN213366_c1_g2_i1,370,Benzyl alcohol O-benzoyltransferase
TRINITY_DN259880_c0_g1_i1,370,NA
TRINITY_DN204163_c0_g1_i2,370,NA
TRINITY_DN212764_c0_g2_i1,370,NA
TRINITY_DN237092_c0_g1_i1,370,NA
TRINITY_DN282082_c0_g1_i1,370,NA
TRINITY_DN199618_c0_g2_i1,370,Transposon Ty3-G Gag-Pol polyprotein
TRINITY_DN12509_c0_g1_i1,370,NA
TRINITY_DN214495_c0_g1_i1,369,"1,4-dihydroxy-2-naphthoyl-CoA synthase, peroxisomal"
TRINITY_DN10675_c0_g1_i1,369,NA
TRINITY_DN296170_c0_g1_i1,369,NA
TRINITY_DN205729_c0_g6_i1,369,NA
TRINITY_DN258206_c0_g1_i1,369,NA
TRINITY_DN258058_c0_g1_i1,369,NA
TRINITY_DN255105_c0_g1_i1,369,NA
TRINITY_DN305278_c0_g1_i1,369,NA
TRINITY_DN86230_c0_g1_i1,369,NA
TRINITY_DN239043_c0_g1_i1,369,NA
TRINITY_DN35682_c0_g1_i1,369,NA
TRINITY_DN233513_c0_g1_i1,369,"dTDP-glucose 4,6-dehydratase"
TRINITY_DN279405_c0_g1_i1,369,NA
TRINITY_DN233459_c0_g1_i1,369,NA
TRINITY_DN310257_c0_g1_i1,369,NA
TRINITY_DN292775_c0_g1_i1,369,NA
TRINITY_DN287284_c0_g1_i1,369,NA
TRINITY_DN223164_c0_g1_i1,369,NA
TRINITY_DN113509_c0_g1_i1,369,NA
TRINITY_DN207852_c0_g1_i1,369,NA
TRINITY_DN232791_c0_g1_i1,369,"Formate dehydrogenase, nitrate-inducible, major subunit"
TRINITY_DN244384_c0_g1_i1,369,NA
TRINITY_DN190799_c11_g1_i1,369,NA
TRINITY_DN281123_c0_g1_i1,369,NA
TRINITY_DN303627_c0_g1_i1,369,NA
TRINITY_DN279668_c0_g1_i1,369,Zyxin
TRINITY_DN309103_c0_g1_i1,369,NA
TRINITY_DN12151_c0_g1_i1,369,NA
TRINITY_DN202132_c1_g3_i1,369,BTB/POZ and TAZ domain-containing protein 4
TRINITY_DN188658_c1_g1_i1,369,NA
TRINITY_DN302284_c0_g1_i1,369,NA
TRINITY_DN190222_c0_g1_i1,369,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN264060_c0_g1_i1,369,NA
TRINITY_DN189624_c0_g1_i1,369,NA
TRINITY_DN294171_c0_g1_i1,369,NA
TRINITY_DN231535_c0_g1_i1,369,NA
TRINITY_DN205960_c1_g1_i1,369,NA
TRINITY_DN274706_c0_g1_i1,369,NA
TRINITY_DN283066_c0_g1_i1,369,Calcineurin B homologous protein 1
TRINITY_DN261502_c0_g1_i1,369,NA
TRINITY_DN298699_c0_g1_i1,369,NA
TRINITY_DN271591_c0_g1_i1,369,NA
TRINITY_DN192723_c16_g1_i1,369,NA
TRINITY_DN198758_c0_g3_i1,369,NA
TRINITY_DN272157_c0_g1_i1,369,NA
TRINITY_DN210279_c0_g3_i1,369,NA
TRINITY_DN202188_c1_g4_i1,369,NA
TRINITY_DN268297_c0_g1_i1,369,Extracellular exo-alpha-(1->5)-L-arabinofuranosidase
TRINITY_DN263021_c0_g1_i1,369,NA
TRINITY_DN174826_c1_g1_i1,368,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN76918_c0_g1_i2,368,Alpha-adducin
TRINITY_DN295272_c0_g1_i1,368,NA
TRINITY_DN290660_c0_g1_i1,368,NA
TRINITY_DN290542_c0_g1_i1,368,RING-H2 finger protein ATL11
TRINITY_DN274462_c0_g1_i1,368,NA
TRINITY_DN205786_c0_g6_i1,368,NA
TRINITY_DN235549_c0_g1_i1,368,NA
TRINITY_DN304698_c0_g1_i1,368,NA
TRINITY_DN193811_c11_g1_i1,368,NA
TRINITY_DN305257_c0_g1_i1,368,NA
TRINITY_DN271312_c0_g1_i1,368,NA
TRINITY_DN112663_c0_g1_i1,368,NA
TRINITY_DN204900_c0_g1_i1,368,LRR receptor-like serine/threonine-protein kinase GSO1
TRINITY_DN55734_c0_g1_i1,368,NA
TRINITY_DN130496_c0_g1_i1,368,NA
TRINITY_DN300980_c0_g1_i1,368,NA
TRINITY_DN248280_c0_g1_i1,368,NA
TRINITY_DN258516_c0_g1_i1,368,NA
TRINITY_DN161987_c0_g1_i1,368,NA
TRINITY_DN226420_c0_g1_i1,368,NA
TRINITY_DN200894_c12_g1_i1,368,NA
TRINITY_DN106340_c0_g1_i1,368,NA
TRINITY_DN276974_c0_g1_i1,368,NA
TRINITY_DN233212_c0_g1_i1,368,NA
TRINITY_DN241380_c0_g1_i1,368,NA
TRINITY_DN278405_c0_g1_i1,368,NA
TRINITY_DN199591_c3_g1_i1,368,NA
TRINITY_DN291699_c0_g1_i1,368,ERV-H1 provirus ancestral Env polyprotein
TRINITY_DN289996_c0_g1_i1,368,NA
TRINITY_DN282258_c0_g1_i1,368,NA
TRINITY_DN220217_c0_g1_i1,368,NA
TRINITY_DN101319_c0_g1_i1,368,NA
TRINITY_DN224790_c0_g1_i1,368,Altronate dehydratase
TRINITY_DN43477_c0_g1_i1,368,NA
TRINITY_DN309516_c0_g1_i1,368,NA
TRINITY_DN98594_c0_g1_i1,368,NA
TRINITY_DN268631_c0_g1_i1,368,Histone-lysine N-methyltransferase ASH1L
TRINITY_DN298174_c0_g1_i1,368,NA
TRINITY_DN188454_c1_g1_i1,368,NA
TRINITY_DN207461_c6_g3_i1,368,NA
TRINITY_DN97515_c0_g1_i1,368,NA
TRINITY_DN291909_c0_g1_i1,368,NA
TRINITY_DN93718_c0_g1_i1,368,NA
TRINITY_DN191577_c1_g1_i1,368,NA
TRINITY_DN20886_c0_g1_i1,368,NA
TRINITY_DN48195_c0_g1_i1,368,NA
TRINITY_DN43989_c0_g1_i1,368,NA
TRINITY_DN234045_c0_g1_i1,367,NA
TRINITY_DN294745_c0_g1_i1,367,NA
TRINITY_DN189387_c13_g1_i1,367,NA
TRINITY_DN255845_c0_g1_i1,367,NA
TRINITY_DN99644_c0_g1_i1,367,NA
TRINITY_DN121016_c0_g1_i2,367,Protein transport protein Sec31A
TRINITY_DN256233_c0_g1_i1,367,Olfactory receptor 1F12
TRINITY_DN93256_c0_g1_i1,367,NA
TRINITY_DN306931_c0_g1_i1,367,NA
TRINITY_DN284631_c0_g1_i1,367,Receptor kinase-like protein Xa21
TRINITY_DN234884_c0_g1_i1,367,NA
TRINITY_DN262168_c0_g1_i1,367,NA
TRINITY_DN282546_c0_g1_i1,367,3-hydroxyadipyl-CoA dehydrogenase
TRINITY_DN203680_c0_g4_i1,367,NA
TRINITY_DN161453_c0_g1_i1,367,NA
TRINITY_DN190276_c6_g1_i1,367,NA
TRINITY_DN299325_c0_g1_i1,367,NA
TRINITY_DN280167_c0_g1_i1,367,NA
TRINITY_DN216953_c2_g1_i1,367,NA
TRINITY_DN21207_c0_g1_i1,367,NA
TRINITY_DN213892_c1_g7_i1,367,NA
TRINITY_DN237526_c0_g1_i1,367,NA
TRINITY_DN212247_c0_g1_i1,367,NA
TRINITY_DN293185_c0_g1_i1,367,NA
TRINITY_DN249636_c0_g1_i1,367,NA
TRINITY_DN188489_c0_g2_i1,367,NA
TRINITY_DN238342_c0_g1_i1,367,NA
TRINITY_DN306405_c0_g1_i1,367,NA
TRINITY_DN73861_c0_g1_i1,367,NA
TRINITY_DN206655_c0_g2_i1,367,NA
TRINITY_DN190118_c6_g1_i1,367,NA
TRINITY_DN273569_c0_g1_i1,367,NA
TRINITY_DN263710_c0_g1_i1,367,NA
TRINITY_DN186308_c7_g1_i1,367,NA
TRINITY_DN198513_c0_g1_i1,367,NA
TRINITY_DN239013_c0_g1_i1,367,NA
TRINITY_DN242387_c0_g1_i1,367,NA
TRINITY_DN188603_c3_g1_i1,367,NA
TRINITY_DN234511_c0_g1_i1,367,NA
TRINITY_DN15151_c0_g1_i1,367,NA
TRINITY_DN81912_c0_g1_i1,367,NA
TRINITY_DN195766_c1_g1_i1,367,Retrovirus-related Pol polyprotein from transposon RE1
TRINITY_DN219911_c0_g1_i1,367,NA
TRINITY_DN193862_c0_g1_i1,367,NA
TRINITY_DN259458_c0_g1_i1,367,Glutamate/aspartate import solute-binding protein
TRINITY_DN282808_c0_g1_i1,367,NA
TRINITY_DN222855_c0_g1_i1,367,NA
TRINITY_DN69303_c0_g1_i1,367,NA
TRINITY_DN215467_c0_g4_i1,367,NA
TRINITY_DN273195_c0_g1_i1,367,NA
TRINITY_DN116038_c0_g1_i1,367,NA
TRINITY_DN233350_c0_g1_i1,367,DNA-directed RNA polymerase II subunit RPB1
TRINITY_DN256216_c0_g1_i1,367,NA
TRINITY_DN278408_c0_g1_i1,367,NA
TRINITY_DN21769_c2_g1_i1,367,NA
TRINITY_DN258587_c0_g1_i1,367,NA
TRINITY_DN279774_c0_g1_i1,367,NA
TRINITY_DN300994_c0_g1_i1,367,NA
TRINITY_DN254521_c0_g1_i1,367,NA
TRINITY_DN87885_c0_g1_i1,367,NA
TRINITY_DN203518_c0_g4_i1,367,NA
TRINITY_DN202842_c0_g4_i1,367,NA
TRINITY_DN144725_c0_g1_i1,367,NA
TRINITY_DN212141_c2_g2_i1,366,NA
TRINITY_DN76288_c0_g1_i1,366,NA
TRINITY_DN149189_c0_g1_i1,366,NA
TRINITY_DN266962_c0_g1_i1,366,NA
TRINITY_DN303927_c0_g1_i1,366,NA
TRINITY_DN194936_c5_g1_i1,366,NA
TRINITY_DN232008_c0_g1_i1,366,Ribosome-associated molecular chaperone SSB1
TRINITY_DN210731_c2_g1_i1,366,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial"
TRINITY_DN162496_c0_g1_i1,366,NA
TRINITY_DN283767_c0_g1_i1,366,NA
TRINITY_DN283354_c0_g1_i1,366,NA
TRINITY_DN264805_c0_g1_i1,366,NA
TRINITY_DN135621_c0_g1_i1,366,NA
TRINITY_DN314628_c0_g1_i1,366,NA
TRINITY_DN195509_c3_g1_i2,366,NA
TRINITY_DN238009_c0_g1_i1,366,NA
TRINITY_DN251921_c0_g1_i1,366,NA
TRINITY_DN252132_c0_g1_i1,366,NA
TRINITY_DN3448_c0_g1_i1,366,NA
TRINITY_DN124964_c0_g1_i1,366,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN200770_c2_g5_i1,366,NA
TRINITY_DN190734_c0_g1_i1,366,Chloride channel protein CLC-c
TRINITY_DN134179_c0_g1_i1,366,NA
TRINITY_DN286260_c0_g1_i1,366,30S ribosomal protein S1
TRINITY_DN188532_c5_g1_i1,366,NA
TRINITY_DN147229_c0_g1_i1,366,NA
TRINITY_DN192953_c2_g1_i1,366,NA
TRINITY_DN293351_c0_g1_i1,366,NA
TRINITY_DN267809_c0_g1_i1,366,NA
TRINITY_DN267479_c0_g1_i1,366,NA
TRINITY_DN258942_c0_g1_i1,366,NA
TRINITY_DN259251_c0_g1_i1,366,Dystonin
TRINITY_DN197539_c0_g1_i1,366,"Fructose-bisphosphate aldolase, cytoplasmic isozyme"
TRINITY_DN290696_c0_g1_i1,366,Diacylglycerol kinase zeta
TRINITY_DN226730_c0_g1_i1,366,NA
TRINITY_DN166379_c0_g1_i1,366,Ribosomal biogenesis protein LAS1L
TRINITY_DN311926_c0_g1_i1,366,NA
TRINITY_DN250554_c0_g1_i1,366,"Iron-sulfur clusters transporter ATM1, mitochondrial"
TRINITY_DN281545_c0_g1_i1,366,Uncharacterized amino acid permease YfnA
TRINITY_DN305939_c0_g1_i1,366,NA
TRINITY_DN233262_c0_g1_i1,366,NA
TRINITY_DN64213_c0_g1_i1,366,NA
TRINITY_DN270211_c0_g1_i1,366,NA
TRINITY_DN291285_c0_g1_i1,366,NA
TRINITY_DN295221_c0_g1_i1,366,NA
TRINITY_DN262782_c0_g1_i1,366,NA
TRINITY_DN73812_c0_g1_i1,366,NA
TRINITY_DN5442_c0_g1_i1,366,NA
TRINITY_DN230208_c0_g1_i1,366,NA
TRINITY_DN284261_c0_g1_i1,366,NA
TRINITY_DN32496_c0_g1_i1,366,NA
TRINITY_DN189454_c8_g1_i1,366,NA
TRINITY_DN257302_c0_g1_i1,366,NA
TRINITY_DN241390_c0_g1_i1,366,NA
TRINITY_DN168604_c0_g1_i1,366,"6-phosphogluconate dehydrogenase, decarboxylating"
TRINITY_DN245224_c0_g1_i1,366,NA
TRINITY_DN178377_c0_g1_i1,366,NA
TRINITY_DN190531_c9_g2_i1,366,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN224831_c0_g1_i1,366,NA
TRINITY_DN281216_c0_g1_i1,366,NA
TRINITY_DN262346_c0_g1_i1,365,NA
TRINITY_DN312904_c0_g1_i1,365,NA
TRINITY_DN275009_c0_g1_i1,365,NA
TRINITY_DN245596_c0_g1_i1,365,NA
TRINITY_DN287675_c0_g1_i1,365,Lactase-phlorizin hydrolase
TRINITY_DN155446_c0_g1_i1,365,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN105149_c0_g1_i1,365,NA
TRINITY_DN114993_c0_g1_i1,365,Inosine-5'-monophosphate dehydrogenase
TRINITY_DN297158_c0_g1_i1,365,NA
TRINITY_DN254204_c0_g1_i1,365,DNA nickase
TRINITY_DN267878_c0_g1_i1,365,Laminin subunit beta-2
TRINITY_DN50584_c0_g1_i1,365,Nitrous-oxide reductase
TRINITY_DN242236_c0_g1_i1,365,NA
TRINITY_DN35595_c0_g1_i1,365,NA
TRINITY_DN47928_c0_g1_i1,365,NA
TRINITY_DN227699_c0_g1_i1,365,NA
TRINITY_DN301204_c0_g1_i1,365,NA
TRINITY_DN49211_c0_g1_i1,365,NA
TRINITY_DN179857_c1_g1_i1,365,Glyceraldehyde-3-phosphate dehydrogenase
TRINITY_DN278885_c0_g1_i1,365,NA
TRINITY_DN194614_c1_g1_i1,365,Retrovirus-related Pol polyprotein from transposon RE1
TRINITY_DN166080_c0_g1_i1,365,NA
TRINITY_DN219224_c0_g1_i1,365,NA
TRINITY_DN221683_c0_g1_i1,365,NA
TRINITY_DN192349_c12_g1_i1,365,Putative uncharacterized protein encoded by LINC00596
TRINITY_DN15556_c0_g1_i1,365,NA
TRINITY_DN257107_c0_g1_i1,365,NA
TRINITY_DN259369_c0_g1_i1,365,NA
TRINITY_DN210413_c2_g1_i1,365,NA
TRINITY_DN285980_c0_g1_i1,365,NA
TRINITY_DN230118_c0_g1_i1,365,NA
TRINITY_DN170723_c0_g2_i1,365,NA
TRINITY_DN200404_c0_g3_i1,365,NA
TRINITY_DN199342_c0_g3_i1,365,Retrovirus-related Pol polyprotein from transposon RE2
TRINITY_DN188543_c18_g1_i1,365,NA
TRINITY_DN241986_c0_g1_i1,365,NA
TRINITY_DN127526_c0_g1_i1,365,NA
TRINITY_DN237002_c0_g1_i1,365,Probable aminotransferase Rv3329
TRINITY_DN29326_c0_g1_i1,365,NA
TRINITY_DN245778_c0_g1_i1,365,NA
TRINITY_DN203083_c1_g1_i2,365,NA
TRINITY_DN304420_c0_g1_i1,365,NA
TRINITY_DN304115_c0_g1_i1,365,NA
TRINITY_DN114661_c0_g1_i1,365,NA
TRINITY_DN294492_c0_g1_i1,365,NA
TRINITY_DN149446_c0_g1_i1,365,NA
TRINITY_DN285918_c0_g1_i1,365,NA
TRINITY_DN276800_c0_g1_i1,365,NA
TRINITY_DN169475_c0_g1_i1,365,NA
TRINITY_DN216495_c0_g4_i1,365,NA
TRINITY_DN302541_c0_g1_i1,365,NA
TRINITY_DN260031_c0_g1_i1,365,NA
TRINITY_DN276013_c0_g1_i1,365,NA
TRINITY_DN205496_c0_g2_i1,365,NA
TRINITY_DN198728_c0_g3_i1,365,NA
TRINITY_DN264878_c0_g1_i1,365,NA
TRINITY_DN231963_c0_g1_i1,365,Uncharacterized hydrolase YugF
